latitude,longitude,brightness,frp,confidence,acq_date,acq_time,satellite,instrument,source
22.3511,70.0634,358.2,142.5,h,2024-02-10,0345,NPP,VIIRS,demo
22.3521,70.0644,355.1,138.2,h,2024-02-11,0348,NPP,VIIRS,demo
22.3508,70.0630,361.5,151.0,h,2024-02-12,0342,NPP,VIIRS,demo
22.3515,70.0638,349.8,128.7,h,2024-02-13,0350,NPP,VIIRS,demo
22.3510,70.0635,362.1,156.3,h,2024-02-14,0344,NPP,VIIRS,demo
21.1077,72.6308,345.6,87.3,h,2024-02-10,0312,NPP,VIIRS,demo
21.1080,72.6315,343.2,82.1,h,2024-02-11,0315,NPP,VIIRS,demo
21.1075,72.6302,347.8,91.5,h,2024-02-12,0310,NPP,VIIRS,demo
21.1079,72.6310,341.5,79.8,h,2024-02-13,0318,NPP,VIIRS,demo
21.1074,72.6305,349.2,94.0,h,2024-02-14,0308,NPP,VIIRS,demo
22.2270,84.8555,372.4,198.6,h,2024-02-10,0430,NPP,VIIRS,demo
22.2275,84.8560,368.1,185.2,h,2024-02-11,0432,NPP,VIIRS,demo
22.2268,84.8550,375.9,210.4,h,2024-02-12,0428,NPP,VIIRS,demo
22.2273,84.8558,364.7,177.3,h,2024-02-13,0435,NPP,VIIRS,demo
22.2271,84.8553,370.2,192.8,h,2024-02-14,0430,NPP,VIIRS,demo
23.6693,86.1511,368.5,175.2,h,2024-02-10,0418,NPP,VIIRS,demo
23.6697,86.1518,365.3,169.8,h,2024-02-11,0420,NPP,VIIRS,demo
23.6690,86.1505,371.2,182.4,h,2024-02-12,0416,NPP,VIIRS,demo
23.6695,86.1514,362.8,162.1,h,2024-02-13,0422,NPP,VIIRS,demo
23.6692,86.1509,366.7,172.5,h,2024-02-14,0419,NPP,VIIRS,demo
20.8400,85.0970,365.8,168.4,h,2024-02-10,0425,NPP,VIIRS,demo
20.8405,85.0978,362.5,162.7,h,2024-02-11,0427,NPP,VIIRS,demo
20.8398,85.0965,368.2,175.8,h,2024-02-12,0423,NPP,VIIRS,demo
20.3167,86.6125,341.2,78.5,h,2024-02-10,0440,NPP,VIIRS,demo
17.6868,83.2185,352.6,112.3,h,2024-02-10,0502,NPP,VIIRS,demo
17.6872,83.2192,349.4,105.7,h,2024-02-11,0504,NPP,VIIRS,demo
17.6865,83.2180,355.8,118.9,h,2024-02-12,0500,NPP,VIIRS,demo
21.1938,81.3509,345.6,89.4,h,2024-02-10,0415,NPP,VIIRS,demo
21.1942,81.3515,342.3,84.2,h,2024-02-11,0417,NPP,VIIRS,demo
22.3450,82.7000,358.2,132.6,h,2024-02-10,0412,NPP,VIIRS,demo
22.3455,82.7008,354.9,126.4,h,2024-02-11,0414,NPP,VIIRS,demo
22.8046,86.2029,362.4,148.7,h,2024-02-10,0435,NPP,VIIRS,demo
22.8050,86.2035,359.1,142.3,h,2024-02-11,0437,NPP,VIIRS,demo
23.7957,86.4304,318.5,42.3,n,2024-02-10,0445,NPP,VIIRS,demo
23.7962,86.4310,315.2,38.7,n,2024-02-11,0447,NPP,VIIRS,demo
25.1000,82.5000,312.4,28.6,n,2024-02-10,0330,NPP,VIIRS,demo
24.8000,84.2000,308.7,22.1,l,2024-02-11,0335,NPP,VIIRS,demo
26.5000,80.2000,316.5,35.4,n,2024-02-10,0320,NPP,VIIRS,demo
24.2000,78.8000,304.8,18.9,l,2024-02-12,0355,NPP,VIIRS,demo
21.8544,84.0066,371.2,189.4,h,2024-02-10,0420,NPP,VIIRS,demo
21.8548,84.0072,368.5,182.7,h,2024-02-11,0422,NPP,VIIRS,demo
21.8541,84.0060,374.1,196.3,h,2024-02-12,0418,NPP,VIIRS,demo
